temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
Low,High,Yes,Low,High,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,Yes,Bad,Good,No,0.158442812
High,Low,No,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,No,Yes,Bad,Good,No,0.12757543
Low,High,Yes,High,Low,Anopheles gambiae,No,High,Yes,Yes,High,Rural,No,No,Good,Bad,Yes,0.63459578
Low,Low,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,Yes,No,Good,Bad,No,0.752778344
Low,Low,Yes,High,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,No,No,Good,Bad,No,0.018250748
High,High,Yes,Low,High,Anopheles gambiae,No,Low,No,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.971292171
High,Low,No,Low,High,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,Yes,No,Bad,Good,Yes,0.754690966
Low,High,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Bad,Yes,0.083375527
Low,High,Yes,High,High,Aedes aegypti,Yes,Low,No,Yes,High,Urban,No,Yes,Good,Bad,No,0.899917892
High,High,No,High,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,No,No,Bad,Bad,No,0.868575474
High,Low,Yes,High,High,Aedes aegypti,Yes,High,No,Yes,High,Urban,Yes,Yes,Good,Good,No,0.764510191
High,High,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,No,No,Bad,Good,Yes,0.340806131
Low,High,Yes,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Urban,Yes,No,Good,Bad,No,0.217570253
High,Low,Yes,High,Low,Anopheles gambiae,No,High,No,No,Low,Rural,Yes,Yes,Bad,Bad,No,0.780908368
Low,High,Yes,Low,Low,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,No,Good,Bad,Yes,0.656069927
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.712628939
High,High,Yes,Low,High,Aedes aegypti,No,Low,No,Yes,Low,Urban,Yes,No,Good,Good,No,0.261292571
High,Low,Yes,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Rural,Yes,Yes,Good,Good,No,0.49612457
Low,Low,No,High,High,Aedes aegypti,Yes,High,Yes,No,Low,Urban,No,Yes,Good,Bad,No,0.406827904
High,High,No,Low,High,Culex quinquefasciatus,Yes,Low,Yes,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.417745182
High,High,No,Low,Low,Aedes aegypti,No,High,Yes,Yes,Low,Urban,No,Yes,Good,Good,No,0.305268623
Low,High,No,Low,High,Anopheles gambiae,Yes,Low,Yes,No,High,Urban,No,Yes,Bad,Bad,Yes,0.181812409
Low,Low,Yes,Low,High,Aedes aegypti,No,High,Yes,Yes,High,Urban,Yes,No,Bad,Bad,No,0.274488779
Low,High,Yes,Low,High,Aedes aegypti,Yes,High,Yes,No,Low,Urban,No,Yes,Bad,Bad,No,0.061387293
High,Low,No,High,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Bad,Yes,0.53497016
Low,High,Yes,High,High,Anopheles gambiae,Yes,Low,Yes,No,High,Urban,No,No,Good,Good,Yes,0.029919285
High,Low,Yes,High,High,Aedes aegypti,No,High,No,Yes,Low,Rural,No,No,Good,Bad,Yes,0.808644647
Low,Low,No,Low,High,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,Yes,Yes,Good,Bad,No,0.933374679
Low,High,No,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,No,No,Good,Bad,No,0.0630576
High,Low,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,No,No,Bad,Bad,No,0.017630583
Low,High,No,Low,Low,Culex quinquefasciatus,No,High,No,Yes,High,Urban,No,Yes,Good,Good,Yes,0.14543311
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Rural,No,No,Bad,Bad,Yes,0.224098686
Low,Low,No,High,Low,Aedes aegypti,No,High,No,No,High,Rural,Yes,Yes,Bad,Bad,Yes,0.034732536
Low,Low,No,Low,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Urban,Yes,No,Good,Bad,Yes,0.539018346
Low,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Urban,Yes,No,Good,Bad,No,0.833147891
Low,Low,No,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.567587689
Low,Low,No,Low,Low,Anopheles gambiae,No,High,No,Yes,Low,Rural,Yes,Yes,Bad,Good,Yes,0.468605924
Low,Low,Yes,High,High,Anopheles gambiae,Yes,High,No,No,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.173271702
Low,High,No,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Rural,No,Yes,Good,Bad,Yes,0.510945534
High,High,No,High,Low,Aedes aegypti,No,High,Yes,Yes,Low,Rural,Yes,Yes,Good,Bad,No,0.599991981
Low,Low,No,Low,Low,Aedes aegypti,Yes,Low,No,No,Low,Rural,No,No,Good,Good,No,0.635600962
Low,High,No,High,High,Culex quinquefasciatus,No,High,Yes,No,High,Rural,Yes,Yes,Good,Good,No,0.900083954
High,High,Yes,Low,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.517235957
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,High,Rural,Yes,Yes,Good,Bad,No,0.993813528
High,Low,No,High,Low,Anopheles gambiae,No,High,No,No,High,Urban,Yes,No,Bad,Bad,Yes,0.107501839
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,Yes,Yes,Good,Bad,Yes,0.423245213
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.482161653
Low,High,No,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.094478804
Low,Low,No,Low,Low,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Good,Yes,0.808293008
Low,High,Yes,Low,High,Aedes aegypti,No,High,No,Yes,Low,Rural,No,Yes,Good,Good,Yes,0.468491837
Low,Low,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,No,Good,Good,No,0.390355429
High,High,Yes,Low,Low,Culex quinquefasciatus,No,Low,No,No,High,Rural,No,Yes,Bad,Bad,No,0.501452698
Low,High,Yes,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,No,Yes,Bad,Bad,No,0.769888407
Low,High,No,High,High,Aedes aegypti,No,High,Yes,Yes,Low,Urban,Yes,Yes,Bad,Bad,No,0.451374833
High,Low,No,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.614355685
High,High,No,Low,High,Aedes aegypti,No,High,No,No,High,Rural,No,No,Bad,Bad,Yes,0.219242882
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,High,No,Yes,High,Urban,Yes,Yes,Bad,Bad,No,0.860778594
High,Low,No,High,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,No,Yes,Bad,Bad,Yes,0.036548173
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Rural,No,Yes,Good,Good,No,0.333812667
High,High,No,High,High,Aedes aegypti,Yes,Low,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.833791218
High,Low,No,High,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,No,Good,Bad,No,0.143215965
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,Yes,No,Good,Bad,No,0.980259942
Low,Low,No,High,High,Anopheles gambiae,No,High,No,Yes,Low,Rural,No,No,Bad,Good,No,0.221967445
High,Low,No,Low,Low,Aedes aegypti,Yes,High,Yes,Yes,Low,Rural,No,No,Good,Bad,Yes,0.074325338
Low,High,No,High,Low,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,No,No,Bad,Bad,No,0.148803564
High,High,No,Low,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,Yes,No,Good,Bad,Yes,0.472937398
Low,High,Yes,High,High,Aedes aegypti,No,Low,No,No,High,Urban,No,No,Bad,Good,Yes,0.285440837
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,No,Bad,Good,Yes,0.536603862
High,High,No,High,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Urban,Yes,No,Good,Good,No,0.995022404
Low,High,Yes,Low,High,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,No,Bad,Bad,No,0.696983442
Low,High,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Rural,No,Yes,Good,Bad,No,0.817226306
Low,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,Yes,No,High,Rural,No,Yes,Good,Good,Yes,0.828284383
Low,High,No,High,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Rural,No,No,Good,Good,Yes,0.63204256
Low,High,Yes,Low,High,Anopheles gambiae,Yes,High,Yes,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.428656596
High,Low,Yes,Low,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,Yes,No,Good,Good,No,0.109959008
High,Low,No,Low,High,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.013896438
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.570883429
High,High,Yes,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.883475066
High,High,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Rural,Yes,Yes,Bad,Good,No,0.504076993
Low,Low,Yes,Low,High,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.92642054
Low,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,No,No,Bad,Good,Yes,0.763750857
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,Low,Yes,No,High,Urban,No,Yes,Bad,Good,Yes,0.639229383
Low,Low,No,High,Low,Anopheles gambiae,No,High,Yes,Yes,High,Rural,Yes,Yes,Bad,Good,Yes,0.86146924
High,High,Yes,High,Low,Anopheles gambiae,No,High,Yes,Yes,High,Rural,No,No,Bad,Bad,Yes,0.160258632
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Urban,Yes,Yes,Good,Bad,Yes,0.088800931
High,High,No,High,High,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,No,Good,Good,Yes,0.421886637
Low,Low,No,Low,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.919805678
High,High,No,High,Low,Aedes aegypti,No,Low,No,No,Low,Rural,No,Yes,Good,Good,No,0.745226302
Low,Low,Yes,High,Low,Aedes aegypti,No,High,Yes,No,Low,Rural,No,Yes,Good,Bad,Yes,0.572013067
Low,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Rural,No,Yes,Bad,Good,No,0.341220029
High,Low,No,High,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.563005323
Low,High,No,High,High,Anopheles gambiae,Yes,Low,No,No,High,Rural,Yes,No,Good,Bad,Yes,0.693579615
High,Low,Yes,High,High,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,Yes,No,Bad,Good,No,0.354556631
Low,High,Yes,High,High,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,No,No,Good,Bad,No,0.467550835
Low,Low,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Rural,Yes,Yes,Good,Good,Yes,0.659122253
Low,High,Yes,Low,High,Anopheles gambiae,No,High,No,Yes,High,Rural,No,Yes,Good,Good,Yes,0.072626914
Low,High,Yes,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.515837772
High,High,Yes,Low,High,Aedes aegypti,No,Low,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.675060253
Low,Low,Yes,Low,Low,Aedes aegypti,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Bad,No,0.685249076
High,High,No,Low,High,Culex quinquefasciatus,No,Low,Yes,No,High,Urban,No,Yes,Bad,Bad,No,0.312053426
High,Low,No,High,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,Yes,No,Good,Bad,No,0.940491962
High,Low,Yes,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Rural,Yes,No,Bad,Bad,No,0.999749695
Low,High,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,No,Yes,Good,Bad,Yes,0.236318653
Low,High,Yes,Low,High,Anopheles gambiae,Yes,High,No,No,Low,Urban,No,No,Bad,Bad,Yes,0.760314467
Low,Low,Yes,Low,High,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,Yes,No,Good,Good,No,0.764590879
Low,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Urban,No,Yes,Bad,Good,No,0.680723702
High,Low,No,High,Low,Aedes aegypti,No,High,No,Yes,Low,Urban,No,Yes,Bad,Good,No,0.341775361
Low,Low,Yes,Low,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Rural,Yes,Yes,Bad,Good,Yes,0.074289706
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Urban,Yes,No,Bad,Bad,No,0.322047649
Low,High,Yes,Low,Low,Aedes aegypti,No,Low,No,Yes,High,Rural,No,No,Bad,Bad,No,0.663160829
High,High,Yes,Low,Low,Anopheles gambiae,No,High,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.058559347
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,Yes,Yes,Good,Good,No,0.534472787
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Urban,Yes,No,Good,Bad,Yes,0.502752159
High,Low,No,Low,Low,Aedes aegypti,Yes,Low,Yes,No,High,Rural,Yes,No,Good,Bad,No,0.86850971
Low,High,No,Low,High,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,Yes,Bad,Good,No,0.274469687
Low,Low,No,Low,Low,Aedes aegypti,No,High,Yes,Yes,High,Urban,Yes,Yes,Bad,Good,Yes,0.917307293
High,Low,No,High,High,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,Yes,Bad,Bad,No,0.925881248
Low,High,Yes,High,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,No,Bad,Bad,No,0.524412591
Low,Low,No,Low,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.798407567
Low,Low,No,Low,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,No,No,Good,Good,No,0.334272088
High,Low,Yes,High,High,Anopheles gambiae,No,High,No,No,Low,Urban,No,Yes,Bad,Bad,Yes,0.723160191
High,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,No,Yes,Bad,Good,Yes,0.501767844
Low,High,No,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.354485053
High,Low,Yes,Low,Low,Aedes aegypti,No,High,No,No,High,Rural,Yes,No,Good,Bad,Yes,0.318432075
High,High,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,Yes,Yes,Bad,Good,Yes,0.23372611
Low,Low,No,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Bad,No,0.750080517
Low,High,Yes,High,High,Aedes aegypti,No,High,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.257275749
Low,High,Yes,Low,High,Anopheles gambiae,No,High,No,No,High,Urban,Yes,No,Good,Good,No,0.720156635
High,Low,No,Low,High,Culex quinquefasciatus,No,High,Yes,No,High,Urban,Yes,No,Bad,Bad,No,0.992190254
Low,High,Yes,High,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,No,Bad,Bad,No,0.02150285
Low,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Rural,No,No,Good,Bad,No,0.089382464
Low,High,No,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,No,Bad,Good,Yes,0.754376143
Low,High,Yes,Low,Low,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,No,No,Good,Good,No,0.67629705
Low,Low,Yes,Low,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,Yes,Yes,Bad,Good,Yes,0.189936373
High,High,No,High,Low,Aedes aegypti,Yes,Low,No,No,High,Urban,No,Yes,Good,Good,No,0.768985067
High,Low,No,Low,High,Anopheles gambiae,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.80971301
Low,High,No,Low,Low,Culex quinquefasciatus,No,High,Yes,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.441478455
Low,High,Yes,High,High,Anopheles gambiae,No,High,Yes,No,Low,Urban,Yes,Yes,Bad,Bad,No,0.081619027
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Rural,Yes,Yes,Good,Good,Yes,0.294311995
Low,High,Yes,Low,High,Aedes aegypti,No,High,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.398915716
High,High,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,No,Good,Good,No,0.711810326
Low,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Rural,Yes,No,Good,Good,No,0.723340827
High,Low,No,Low,High,Anopheles gambiae,No,High,Yes,No,Low,Urban,No,No,Bad,Bad,No,0.484548404
High,High,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,No,Good,Bad,Yes,0.763503834
High,High,No,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Rural,No,No,Bad,Good,No,0.449066198
Low,High,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,No,No,Good,Good,Yes,0.28888577
Low,Low,No,High,Low,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,Yes,Good,Bad,No,0.560674587
Low,High,No,High,Low,Aedes aegypti,Yes,High,No,No,High,Urban,No,Yes,Good,Good,No,0.995607558
High,High,Yes,High,High,Aedes aegypti,No,Low,No,No,Low,Rural,No,No,Good,Good,No,0.123097969
Low,Low,No,Low,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Bad,Yes,0.255269768
High,High,No,Low,Low,Aedes aegypti,No,Low,No,Yes,Low,Urban,No,No,Good,Good,Yes,0.366229512
Low,High,No,High,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,No,No,Good,Good,Yes,0.485314222
Low,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.784405652
Low,Low,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,No,Bad,Bad,Yes,0.600969668
Low,Low,No,Low,Low,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Bad,Yes,0.765229611
Low,High,Yes,High,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Rural,No,No,Good,Bad,Yes,0.332536923
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Rural,No,No,Bad,Bad,Yes,0.182167309
Low,Low,Yes,High,Low,Aedes aegypti,No,High,No,Yes,Low,Rural,Yes,No,Good,Good,No,0.151361725
High,Low,No,Low,High,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,Yes,No,Good,Good,Yes,0.729706368
High,Low,Yes,High,Low,Aedes aegypti,Yes,Low,No,No,Low,Urban,Yes,No,Bad,Bad,No,0.655766037
High,Low,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,High,Rural,Yes,Yes,Bad,Good,Yes,0.029844453
Low,High,Yes,Low,Low,Anopheles gambiae,Yes,Low,No,Yes,High,Rural,No,Yes,Bad,Good,Yes,0.992774843
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.191764036
High,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,Yes,Yes,Good,Bad,No,0.341322507
High,Low,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,No,Good,Good,Yes,0.452256055
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,Yes,Bad,Bad,No,0.744999146
Low,High,Yes,Low,High,Culex quinquefasciatus,No,High,No,No,High,Rural,No,No,Bad,Bad,No,0.060907726
Low,High,No,High,Low,Aedes aegypti,Yes,High,No,No,High,Rural,No,No,Bad,Bad,No,0.929499305
Low,Low,Yes,Low,High,Aedes aegypti,Yes,Low,No,Yes,High,Rural,No,Yes,Good,Good,No,0.713068963
Low,Low,Yes,High,Low,Anopheles gambiae,No,High,No,No,Low,Urban,Yes,Yes,Bad,Good,Yes,0.587657554
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,Yes,Yes,Good,Good,Yes,0.351954163
High,High,No,Low,Low,Anopheles gambiae,No,Low,No,No,High,Rural,No,Yes,Bad,Bad,Yes,0.4503194
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Rural,Yes,Yes,Good,Good,Yes,0.810893647
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,No,No,High,Rural,No,No,Bad,Bad,No,0.420812849
Low,High,No,High,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.710861378
High,Low,Yes,High,Low,Culex quinquefasciatus,No,High,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.64461113
Low,High,No,High,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,No,Yes,Bad,Good,No,0.919293524
Low,Low,Yes,High,Low,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,Yes,Bad,Bad,No,0.643820283
Low,Low,No,Low,High,Aedes aegypti,No,High,Yes,Yes,Low,Urban,Yes,No,Good,Bad,Yes,0.553696033
Low,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,No,Yes,Bad,Good,No,0.962558937
High,Low,No,Low,Low,Aedes aegypti,Yes,Low,No,No,Low,Rural,Yes,Yes,Good,Bad,No,0.370645377
Low,High,No,High,Low,Anopheles gambiae,No,High,No,No,Low,Rural,Yes,No,Bad,Bad,No,0.838141804
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,No,Bad,Good,Yes,0.370635855
High,High,Yes,Low,High,Anopheles gambiae,Yes,High,No,No,High,Rural,No,No,Good,Good,Yes,0.825010528
High,High,No,Low,High,Aedes aegypti,No,High,No,Yes,Low,Rural,Yes,No,Good,Good,No,0.820051819
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Rural,Yes,No,Good,Bad,No,0.590744259
Low,High,Yes,High,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,No,No,Good,Good,No,0.050535774
Low,High,No,Low,High,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,No,No,Bad,Bad,Yes,0.945767995
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,No,Yes,Good,Good,Yes,0.804746619
Low,Low,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Good,Good,No,0.488524452
High,High,No,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,Yes,No,Good,Good,Yes,0.637150561
High,High,Yes,High,Low,Culex quinquefasciatus,No,High,Yes,No,Low,Urban,No,No,Good,Good,No,0.339035438
High,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.311358835
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,High,No,No,High,Rural,No,Yes,Bad,Good,No,0.153839992
Low,High,No,Low,High,Aedes aegypti,No,High,No,No,High,Rural,No,No,Bad,Bad,Yes,0.0471482
High,Low,No,High,High,Aedes aegypti,No,High,Yes,Yes,Low,Urban,Yes,No,Bad,Good,Yes,0.444713451
High,High,Yes,High,High,Aedes aegypti,No,High,Yes,Yes,High,Urban,No,No,Bad,Bad,Yes,0.436573158
High,High,Yes,High,Low,Anopheles gambiae,No,High,Yes,No,Low,Urban,Yes,No,Bad,Bad,Yes,0.275701815
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,Yes,No,Bad,Good,No,0.903113211
High,High,Yes,High,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.105116779
High,High,No,Low,High,Culex quinquefasciatus,No,Low,No,No,High,Urban,Yes,No,Good,Good,No,0.7263291
High,High,Yes,Low,High,Aedes aegypti,No,Low,No,No,Low,Urban,No,Yes,Good,Bad,Yes,0.851897551
High,High,No,Low,High,Anopheles gambiae,Yes,Low,Yes,No,Low,Rural,Yes,Yes,Bad,Good,Yes,0.999480325
High,High,No,Low,High,Anopheles gambiae,No,High,Yes,Yes,High,Urban,No,Yes,Good,Good,Yes,0.429283441
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,No,Yes,Bad,Bad,No,0.896824083
High,Low,Yes,High,Low,Aedes aegypti,Yes,Low,No,No,Low,Urban,No,No,Good,Good,Yes,0.519516817
Low,High,No,High,Low,Culex quinquefasciatus,No,Low,No,No,Low,Rural,No,No,Good,Good,No,0.665616064
Low,High,Yes,Low,High,Culex quinquefasciatus,No,High,No,No,High,Urban,No,Yes,Good,Bad,Yes,0.177208497
Low,High,No,High,Low,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,No,Good,Bad,Yes,0.604816948
Low,High,Yes,High,High,Anopheles gambiae,No,Low,No,Yes,High,Rural,No,No,Good,Good,No,0.195434204
High,Low,Yes,High,High,Culex quinquefasciatus,No,High,Yes,Yes,High,Rural,No,Yes,Bad,Bad,Yes,0.29735007
Low,High,Yes,High,Low,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.970038607
High,Low,Yes,High,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Urban,No,Yes,Good,Good,No,0.372420553
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,Yes,No,Good,Bad,No,0.479020533
High,Low,No,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,No,Yes,Good,Bad,No,0.118300564
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.09988306
High,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,No,Yes,Bad,Bad,No,0.244233525
High,High,No,Low,Low,Culex quinquefasciatus,No,High,No,Yes,High,Rural,Yes,No,Bad,Good,No,0.888249218
High,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,No,High,Urban,No,Yes,Good,Good,Yes,0.673002007
